Statistical profiling result from nobloq.log, (5187 ticks, 11 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    129    2.5%          /usr/lib/system/libsystem_kernel.dylib
    103    2.0%          /usr/lib/system/libsystem_pthread.dylib
     87    1.7%          /usr/lib/system/libsystem_c.dylib
     51    1.0%          /usr/lib/system/libsystem_platform.dylib
     51    1.0%          /usr/lib/system/libsystem_malloc.dylib
     30    0.6%          /usr/lib/libc++.1.dylib
      4    0.1%          /usr/lib/libc++abi.dylib
      1    0.0%          /usr/lib/system/libdyld.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     30    0.6%    0.6%  LazyCompile: *resolve node:path:1091:10
     10    0.2%    0.2%  RegExp: [ \t]*<%_
      7    0.1%    0.1%  LazyCompile: *next /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/router/index.js:176:16
      6    0.1%    0.1%  LazyCompile: *normalizeString node:path:66:25
      5    0.1%    0.1%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
      5    0.1%    0.1%  Function: ^readSync node:fs:684:18
      5    0.1%    0.1%  Function: ^readFileSync node:fs:450:22
      4    0.1%    0.1%  RegExp: (<%%|%%>|<%=|<%-|<%_|<%#|<%|%>|-%>|_%>)
      4    0.1%    0.1%  LazyCompile: *readFileSync node:fs:450:22
      3    0.1%    0.1%  RegExp: ;(\s*$)
      3    0.1%    0.1%  LazyCompile: *realpathSync node:fs:2408:22
      3    0.1%    0.1%  LazyCompile: *readPackage node:internal/modules/cjs/loader:290:21
      3    0.1%    0.1%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
      3    0.1%    0.1%  LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      3    0.1%    0.1%  Function: ^emit node:events:340:44
      3    0.1%    0.1%  Function: ^Module._compile node:internal/modules/cjs/loader:1055:37
      2    0.0%    0.0%  RegExp: ^.*[\.\/\\]
      2    0.0%    0.0%  LazyCompile: *readPackageScope node:internal/modules/cjs/loader:321:26
      2    0.0%    0.0%  LazyCompile: *dirname node:path:1275:10
      2    0.0%    0.0%  LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
      2    0.0%    0.0%  Function: ^getHeader node:_http_outgoing:590:57
      2    0.0%    0.0%  Function: ^Module._extensions..js node:internal/modules/cjs/loader:1110:37
      1    0.0%    0.0%  RegExp: _%>[ \t]*
      1    0.0%    0.0%  LazyCompile: *syncExports node:internal/bootstrap/loaders:287:14
      1    0.0%    0.0%  LazyCompile: *scanLine /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:803:22
      1    0.0%    0.0%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
